new_date,actual_TEC,predicted_TEC
2011-09-23 10:00:00,34.43820157,39.891415
2011-09-23 12:00:00,34.16626771,37.683823
2011-09-23 14:00:00,32.45322458,32.96871
2011-09-23 16:00:00,24.87123843,27.140797
2011-09-23 18:00:00,15.26678614,17.845669
2011-09-23 20:00:00,12.48528,17.217848
2011-09-23 22:00:00,11.57922614,15.815393
2011-09-24 00:00:00,11.39612,16.056993
2011-09-24 02:00:00,10.76628,15.044307
2011-09-24 04:00:00,19.81374771,24.415869
2011-09-24 06:00:00,27.54776,34.910892
2011-09-24 08:00:00,36.93241386,38.54961
2011-09-24 10:00:00,37.11525386,45.36653
2011-09-24 12:00:00,33.65425542,40.11192
2011-09-24 14:00:00,31.53578458,34.982113
2011-09-24 16:00:00,25.18490614,25.79148
2011-09-24 18:00:00,16.36004,18.39535
2011-09-24 20:00:00,13.39844,17.835943
2011-09-24 22:00:00,12.09844,16.720636
2011-09-25 00:00:00,12.46417386,15.909349
2011-09-25 02:00:00,11.84728,13.886102
2011-09-25 04:00:00,21.77770771,26.331863
2011-09-25 06:00:00,31.01346458,36.057697
2011-09-25 08:00:00,34.41552,38.889343
2011-09-25 10:00:00,37.19249229,41.262093
2011-09-25 12:00:00,37.05509542,40.45096
2011-09-25 14:00:00,36.38814301,36.47802
2011-09-25 16:00:00,27.35985229,27.991129
2011-09-25 18:00:00,17.74104,20.600367
2011-09-25 20:00:00,15.96486614,17.399532
2011-09-25 22:00:00,14.8306,16.860672
2011-09-26 00:00:00,14.11533386,16.680655
2011-09-26 02:00:00,13.22828,14.525328
2011-09-26 04:00:00,21.21396157,23.99616
2011-09-26 06:00:00,29.01530614,35.490837
2011-09-26 08:00:00,36.12262614,38.20871
2011-09-26 10:00:00,40.81185229,42.58938
2011-09-26 12:00:00,38.22652157,43.643772
2011-09-26 14:00:00,33.76192,34.563633
2011-09-26 16:00:00,29.82435843,28.816961
2011-09-26 18:00:00,20.69328157,20.187204
2011-09-26 20:00:00,16.67482771,17.673439
2011-09-26 22:00:00,14.86664,17.06329
2011-09-27 00:00:00,11.00090614,16.612154
2011-09-27 02:00:00,8.478533856,15.486803
2011-09-27 04:00:00,17.17153542,20.905035
2011-09-27 06:00:00,23.23534771,30.519709
2011-09-27 08:00:00,25.78593229,35.177967
2011-09-27 10:00:00,26.74807843,34.24051
2011-09-27 12:00:00,25.45674458,31.010168
2011-09-27 14:00:00,23.39350614,27.810635
2011-09-27 16:00:00,17.03658458,23.581217
2011-09-27 18:00:00,12.83821386,18.458652
2011-09-27 20:00:00,12.61744,15.79029
2011-09-27 22:00:00,11.36326771,14.867157
2011-09-28 00:00:00,11.15101386,13.824212
2011-09-28 02:00:00,11.37233386,14.715508
2011-09-28 04:00:00,17.42889542,20.565128
2011-09-28 06:00:00,25.76566614,30.82361
2011-09-28 08:00:00,32.08078614,35.423935
2011-09-28 10:00:00,30.99818614,36.1437
2011-09-28 12:00:00,26.60333229,34.29318
2011-09-28 14:00:00,23.81051843,26.514452
2011-09-28 16:00:00,19.28042458,21.524479
2011-09-28 18:00:00,14.22132,17.957083
2011-09-28 20:00:00,13.66164,15.958155
2011-09-28 22:00:00,12.82737386,15.63691
2011-09-29 00:00:00,12.7748,15.191177
2011-09-29 02:00:00,11.14053386,16.602911
2011-09-29 04:00:00,17.69300157,24.621206
2011-09-29 06:00:00,28.39351843,30.359192
2011-09-29 08:00:00,27.39869386,37.905567
2011-09-29 10:00:00,33.51472,32.033237
2011-09-29 12:00:00,30.42606458,38.9545
2011-09-29 14:00:00,26.00518458,27.379673
2011-09-29 16:00:00,17.40155843,25.155249
2011-09-29 18:00:00,11.3,16.900455
2011-09-29 20:00:00,11.78705386,15.929977
2011-09-29 22:00:00,10.97248,16.17694
2011-09-30 00:00:00,10.41069386,15.004963
2011-09-30 02:00:00,9.951373856,15.093622
2011-09-30 04:00:00,17.46084157,21.343088
2011-09-30 06:00:00,23.71904,30.493364
2011-09-30 08:00:00,29.75590771,33.08286
2011-09-30 10:00:00,31.31156,35.36006
2011-09-30 12:00:00,26.72515843,33.929756
2011-09-30 14:00:00,26.96450458,27.327063
2011-09-30 16:00:00,17.80921072,24.471283
2011-09-30 18:00:00,10.95438614,17.702843
2011-09-30 20:00:00,12.05565386,16.246063
2011-09-30 22:00:00,10.49844,15.17858
2011-10-01 00:00:00,9.815333856,15.117851
2011-10-01 02:00:00,9.664173856,14.361742
2011-10-01 04:00:00,17.51642771,23.026062
2011-10-01 06:00:00,25.27694614,30.365286
2011-10-01 08:00:00,36.66334614,35.742554
2011-10-01 10:00:00,40.17596,42.71744
2011-10-01 12:00:00,35.85822614,40.638557
2011-10-01 14:00:00,32.44753072,36.048145
2011-10-01 16:00:00,19.99078458,25.893757
2011-10-01 18:00:00,13.52237229,18.072079
2011-10-01 20:00:00,12.43890614,16.128216
2011-10-01 22:00:00,11.41069386,16.795206
2011-10-02 00:00:00,11.37712,15.2525215
2011-10-02 02:00:00,10.97712,14.561081
2011-10-02 04:00:00,18.90838614,22.229849
2011-10-02 06:00:00,30.48191843,34.015453
2011-10-02 08:00:00,35.09173386,41.54873
2011-10-02 10:00:00,37.80525386,40.772587
2011-10-02 12:00:00,35.31326614,40.277145
2011-10-02 14:00:00,31.79955843,31.516
2011-10-02 16:00:00,23.31141229,25.697405
2011-10-02 18:00:00,18.27693386,18.557207
2011-10-02 20:00:00,15.05812,17.16267
2011-10-02 22:00:00,13.18937386,17.247196
2011-10-03 00:00:00,13.00090614,16.771698
